task_id,task_name,baseline_type,evaluator_score,normalized_decision
GSCF_001,water_density_300K,manual_llm,9,accept_minor_revision
GSCF_002,water_OO_RDF_300K,manual_llm,9,accept_minor_revision
GSCF_003,water_MSD_diffusion_300K,manual_llm,8,accept_minor_revision
GSCF_004,water_hbond_300K,manual_llm,9,accept_minor_revision
GSCF_005,water_density_profile_z_300K,manual_llm,8,accept_minor_revision
GSCF_006,water_OH_RDF_300K,manual_llm,9,accept_minor_revision
GSCF_007,water_OO_coordination_300K,manual_llm,9,accept_minor_revision
GSCF_008,water_equilibration_validation_300K,manual_llm,9,accept_minor_revision
GSCF_009,water_PBC_correction_300K,manual_llm,8,accept_minor_revision
GSCF_010,water_temperature_analysis_300K,manual_llm,9,accept_minor_revision
